Client_ID,Risk_Profile,Target_Equity,Target_Debt,Target_Cash
C0076,Aggressive,80,15,5
C0077,Moderate,60,30,10
C0078,Moderate,60,30,10
C0079,Conservative,40,40,20
C0080,Moderate,60,30,10
C0081,Aggressive,80,15,5
C0082,Conservative,40,40,20
C0083,Conservative,40,40,20
C0084,Aggressive,80,15,5
C0085,Conservative,40,40,20
C0086,Aggressive,80,15,5
C0087,Aggressive,80,15,5
C0088,Moderate,60,30,10
C0089,Moderate,60,30,10
C0090,Moderate,60,30,10
C0091,Conservative,40,40,20
C0092,Conservative,40,40,20
C0093,Moderate,60,30,10
C0094,Aggressive,80,15,5
C0095,Conservative,40,40,20
C0096,Aggressive,80,15,5
C0097,Conservative,40,40,20
C0098,Aggressive,80,15,5
C0099,Moderate,60,30,10
C0100,Moderate,60,30,10
C0101,Aggressive,80,15,5
C0102,Aggressive,80,15,5
C0103,Moderate,60,30,10
C0104,Moderate,60,30,10
C0105,Conservative,40,40,20
C0106,Conservative,40,40,20
C0107,Conservative,40,40,20
C0108,Aggressive,80,15,5
C0109,Moderate,60,30,10
C0110,Aggressive,80,15,5
C0111,Conservative,40,40,20
C0112,Aggressive,80,15,5
C0113,Moderate,60,30,10
C0114,Aggressive,80,15,5
C0115,Aggressive,80,15,5
C0116,Moderate,60,30,10
C0117,Conservative,40,40,20
C0118,Moderate,60,30,10
C0119,Aggressive,80,15,5
C0120,Moderate,60,30,10
C0121,Conservative,40,40,20
C0122,Conservative,40,40,20
C0123,Aggressive,80,15,5
C0124,Moderate,60,30,10
C0125,Conservative,40,40,20
C0126,Aggressive,80,15,5
C0127,Moderate,60,30,10
C0128,Moderate,60,30,10
C0129,Conservative,40,40,20
C0130,Conservative,40,40,20
C0131,Moderate,60,30,10
C0132,Moderate,60,30,10
C0133,Aggressive,80,15,5
C0134,Conservative,40,40,20
C0135,Aggressive,80,15,5
C0136,Aggressive,80,15,5
C0137,Moderate,60,30,10
C0138,Moderate,60,30,10
C0139,Moderate,60,30,10
C0140,Conservative,40,40,20
C0141,Moderate,60,30,10
C0142,Aggressive,80,15,5
C0143,Conservative,40,40,20
C0144,Conservative,40,40,20
C0145,Conservative,40,40,20
C0146,Aggressive,80,15,5
C0147,Aggressive,80,15,5
C0148,Moderate,60,30,10
C0149,Conservative,40,40,20
C0150,Moderate,60,30,10
C0151,Conservative,40,40,20
C0152,Conservative,40,40,20
C0153,Moderate,60,30,10
C0154,Conservative,40,40,20
C0155,Aggressive,80,15,5
C0156,Conservative,40,40,20
C0157,Aggressive,80,15,5
C0158,Moderate,60,30,10
C0159,Aggressive,80,15,5
C0160,Moderate,60,30,10
C0161,Aggressive,80,15,5
C0162,Conservative,40,40,20
C0163,Conservative,40,40,20
C0164,Moderate,60,30,10
C0165,Conservative,40,40,20
C0166,Conservative,40,40,20
C0167,Conservative,40,40,20
C0168,Conservative,40,40,20
C0169,Moderate,60,30,10
C0170,Aggressive,80,15,5
C0171,Moderate,60,30,10
C0172,Moderate,60,30,10
C0173,Conservative,40,40,20
C0174,Conservative,40,40,20
C0175,Aggressive,80,15,5
C0176,Aggressive,80,15,5
C0177,Aggressive,80,15,5
C0178,Aggressive,80,15,5
C0179,Moderate,60,30,10
C0180,Moderate,60,30,10
C0181,Moderate,60,30,10
C0182,Aggressive,80,15,5
C0183,Conservative,40,40,20
C0184,Aggressive,80,15,5
C0185,Aggressive,80,15,5
C0186,Aggressive,80,15,5
C0187,Aggressive,80,15,5
C0188,Conservative,40,40,20
C0189,Conservative,40,40,20
C0190,Moderate,60,30,10
C0191,Moderate,60,30,10
C0192,Moderate,60,30,10
C0193,Moderate,60,30,10
C0194,Moderate,60,30,10
C0195,Moderate,60,30,10
C0196,Conservative,40,40,20
C0197,Moderate,60,30,10
C0198,Moderate,60,30,10
C0199,Moderate,60,30,10
C0200,Aggressive,80,15,5
C0201,Moderate,60,30,10
C0202,Conservative,40,40,20
C0203,Moderate,60,30,10
C0204,Aggressive,80,15,5
C0205,Moderate,60,30,10
C0206,Conservative,40,40,20
C0207,Moderate,60,30,10
C0208,Aggressive,80,15,5
C0209,Conservative,40,40,20
C0210,Aggressive,80,15,5
C0211,Conservative,40,40,20
C0212,Moderate,60,30,10
C0213,Moderate,60,30,10
C0214,Conservative,40,40,20
C0215,Moderate,60,30,10
C0216,Conservative,40,40,20
C0217,Conservative,40,40,20
C0218,Conservative,40,40,20
C0219,Aggressive,80,15,5
C0220,Moderate,60,30,10
C0221,Moderate,60,30,10
C0222,Conservative,40,40,20
C0223,Aggressive,80,15,5
C0224,Conservative,40,40,20
C0225,Moderate,60,30,10
C0226,Moderate,60,30,10
C0227,Conservative,40,40,20
C0228,Moderate,60,30,10
C0229,Moderate,60,30,10
C0230,Moderate,60,30,10
C0231,Aggressive,80,15,5
C0232,Moderate,60,30,10
C0233,Aggressive,80,15,5
C0234,Moderate,60,30,10
C0235,Moderate,60,30,10
C0236,Aggressive,80,15,5
C0237,Aggressive,80,15,5
C0238,Aggressive,80,15,5
C0239,Aggressive,80,15,5
C0240,Moderate,60,30,10
C0241,Moderate,60,30,10
C0242,Aggressive,80,15,5
C0243,Moderate,60,30,10
C0244,Moderate,60,30,10
C0245,Moderate,60,30,10
C0246,Moderate,60,30,10
C0247,Aggressive,80,15,5
C0248,Moderate,60,30,10
C0249,Moderate,60,30,10
C0250,Aggressive,80,15,5
C0251,Aggressive,80,15,5
C0252,Aggressive,80,15,5
C0253,Aggressive,80,15,5
C0254,Moderate,60,30,10
C0255,Conservative,40,40,20
C0256,Aggressive,80,15,5
C0257,Moderate,60,30,10
C0258,Aggressive,80,15,5
C0259,Aggressive,80,15,5
C0260,Moderate,60,30,10
C0261,Conservative,40,40,20
C0262,Moderate,60,30,10
C0263,Conservative,40,40,20
C0264,Aggressive,80,15,5
C0265,Aggressive,80,15,5
C0266,Conservative,40,40,20
C0267,Aggressive,80,15,5
C0268,Aggressive,80,15,5
C0269,Conservative,40,40,20
C0270,Conservative,40,40,20
C0271,Conservative,40,40,20
C0272,Aggressive,80,15,5
C0273,Aggressive,80,15,5
C0274,Moderate,60,30,10
C0275,Conservative,40,40,20
C0276,Moderate,60,30,10
C0277,Aggressive,80,15,5
C0278,Conservative,40,40,20
C0279,Aggressive,80,15,5
C0280,Moderate,60,30,10
C0281,Moderate,60,30,10
C0282,Aggressive,80,15,5
C0283,Moderate,60,30,10
C0284,Conservative,40,40,20
C0285,Aggressive,80,15,5
C0286,Moderate,60,30,10
C0287,Conservative,40,40,20
C0288,Aggressive,80,15,5
C0289,Aggressive,80,15,5
C0290,Conservative,40,40,20
C0291,Conservative,40,40,20
C0292,Conservative,40,40,20
C0293,Aggressive,80,15,5
C0294,Aggressive,80,15,5
C0295,Moderate,60,30,10
C0296,Conservative,40,40,20
C0297,Moderate,60,30,10
C0298,Conservative,40,40,20
C0299,Conservative,40,40,20
C0300,Aggressive,80,15,5
C0301,Conservative,40,40,20
C0302,Aggressive,80,15,5
C0303,Conservative,40,40,20
C0304,Moderate,60,30,10
C0305,Conservative,40,40,20
C0306,Moderate,60,30,10
C0307,Moderate,60,30,10
C0308,Moderate,60,30,10
C0309,Aggressive,80,15,5
C0310,Moderate,60,30,10
C0311,Moderate,60,30,10
C0312,Aggressive,80,15,5
C0313,Moderate,60,30,10
C0314,Moderate,60,30,10
C0315,Conservative,40,40,20
C0316,Moderate,60,30,10
C0317,Aggressive,80,15,5
C0318,Conservative,40,40,20
C0319,Moderate,60,30,10
C0320,Aggressive,80,15,5
C0321,Moderate,60,30,10
C0322,Aggressive,80,15,5
C0323,Conservative,40,40,20
C0324,Conservative,40,40,20
C0325,Moderate,60,30,10
C0326,Aggressive,80,15,5
C0327,Conservative,40,40,20
C0328,Moderate,60,30,10
C0329,Aggressive,80,15,5
C0330,Conservative,40,40,20
C0331,Moderate,60,30,10
C0332,Moderate,60,30,10
C0333,Conservative,40,40,20
C0334,Moderate,60,30,10
C0335,Conservative,40,40,20
C0336,Aggressive,80,15,5
C0337,Aggressive,80,15,5
C0338,Aggressive,80,15,5
C0339,Aggressive,80,15,5
C0340,Conservative,40,40,20
C0341,Aggressive,80,15,5
C0342,Conservative,40,40,20
C0343,Moderate,60,30,10
C0344,Aggressive,80,15,5
C0345,Aggressive,80,15,5
C0346,Conservative,40,40,20
C0347,Aggressive,80,15,5
C0348,Conservative,40,40,20
C0349,Moderate,60,30,10
C0350,Moderate,60,30,10
C0351,Aggressive,80,15,5
C0352,Conservative,40,40,20
C0353,Conservative,40,40,20
C0354,Conservative,40,40,20
C0355,Conservative,40,40,20
C0356,Aggressive,80,15,5
C0357,Aggressive,80,15,5
C0358,Aggressive,80,15,5
C0359,Conservative,40,40,20
C0360,Conservative,40,40,20
C0361,Conservative,40,40,20
C0362,Moderate,60,30,10
C0363,Conservative,40,40,20
C0364,Conservative,40,40,20
C0365,Moderate,60,30,10
C0366,Moderate,60,30,10
C0367,Conservative,40,40,20
C0368,Aggressive,80,15,5
C0369,Aggressive,80,15,5
C0370,Aggressive,80,15,5
C0371,Moderate,60,30,10
C0372,Conservative,40,40,20
C0373,Aggressive,80,15,5
C0374,Moderate,60,30,10
C0375,Conservative,40,40,20
C0376,Moderate,60,30,10
C0377,Aggressive,80,15,5
C0378,Moderate,60,30,10
C0379,Conservative,40,40,20
C0380,Moderate,60,30,10
C0381,Aggressive,80,15,5
C0382,Aggressive,80,15,5
C0383,Conservative,40,40,20
C0384,Moderate,60,30,10
C0385,Conservative,40,40,20
C0386,Moderate,60,30,10
C0387,Conservative,40,40,20
C0388,Moderate,60,30,10
C0389,Moderate,60,30,10
C0390,Aggressive,80,15,5
C0391,Conservative,40,40,20
C0392,Moderate,60,30,10
C0393,Conservative,40,40,20
C0394,Aggressive,80,15,5
C0395,Conservative,40,40,20
C0396,Conservative,40,40,20
C0397,Moderate,60,30,10
C0398,Moderate,60,30,10
C0399,Aggressive,80,15,5
C0400,Moderate,60,30,10
C0401,Conservative,40,40,20
C0402,Aggressive,80,15,5
C0403,Moderate,60,30,10
C0404,Aggressive,80,15,5
C0405,Moderate,60,30,10
C0406,Moderate,60,30,10
C0407,Moderate,60,30,10
C0408,Aggressive,80,15,5
C0409,Aggressive,80,15,5
C0410,Aggressive,80,15,5
C0411,Moderate,60,30,10
C0412,Moderate,60,30,10
C0413,Conservative,40,40,20
C0414,Moderate,60,30,10
C0415,Moderate,60,30,10
C0416,Conservative,40,40,20
C0417,Moderate,60,30,10
C0418,Conservative,40,40,20
C0419,Aggressive,80,15,5
C0420,Moderate,60,30,10
C0421,Moderate,60,30,10
C0422,Aggressive,80,15,5
C0423,Conservative,40,40,20
C0424,Moderate,60,30,10
C0425,Conservative,40,40,20
C0426,Aggressive,80,15,5
C0427,Aggressive,80,15,5
C0428,Moderate,60,30,10
C0429,Aggressive,80,15,5
C0430,Aggressive,80,15,5
C0431,Conservative,40,40,20
C0432,Moderate,60,30,10
C0433,Aggressive,80,15,5
C0434,Moderate,60,30,10
C0435,Moderate,60,30,10
C0436,Moderate,60,30,10
C0437,Conservative,40,40,20
C0438,Aggressive,80,15,5
C0439,Moderate,60,30,10
C0440,Conservative,40,40,20
C0441,Aggressive,80,15,5
C0442,Moderate,60,30,10
C0443,Moderate,60,30,10
C0444,Conservative,40,40,20
C0445,Aggressive,80,15,5
C0446,Moderate,60,30,10
C0447,Moderate,60,30,10
C0448,Moderate,60,30,10
C0449,Moderate,60,30,10
C0450,Aggressive,80,15,5
C0451,Aggressive,80,15,5
C0452,Moderate,60,30,10
C0453,Moderate,60,30,10
C0454,Aggressive,80,15,5
C0455,Aggressive,80,15,5
C0456,Aggressive,80,15,5
C0457,Moderate,60,30,10
C0458,Aggressive,80,15,5
C0459,Moderate,60,30,10
C0460,Moderate,60,30,10
C0461,Aggressive,80,15,5
C0462,Moderate,60,30,10
C0463,Moderate,60,30,10
C0464,Aggressive,80,15,5
C0465,Aggressive,80,15,5
C0466,Conservative,40,40,20
C0467,Moderate,60,30,10
C0468,Conservative,40,40,20
C0469,Moderate,60,30,10
C0470,Moderate,60,30,10
C0471,Moderate,60,30,10
C0472,Conservative,40,40,20
C0473,Conservative,40,40,20
C0474,Aggressive,80,15,5
C0475,Aggressive,80,15,5
C0476,Aggressive,80,15,5
C0477,Moderate,60,30,10
C0478,Conservative,40,40,20
C0479,Aggressive,80,15,5
C0480,Aggressive,80,15,5
C0481,Moderate,60,30,10
C0482,Aggressive,80,15,5
C0483,Aggressive,80,15,5
C0484,Conservative,40,40,20
C0485,Aggressive,80,15,5
C0486,Aggressive,80,15,5
C0487,Moderate,60,30,10
C0488,Conservative,40,40,20
C0489,Conservative,40,40,20
C0490,Moderate,60,30,10
C0491,Conservative,40,40,20
C0492,Aggressive,80,15,5
C0493,Moderate,60,30,10
C0494,Conservative,40,40,20
C0495,Conservative,40,40,20
C0496,Aggressive,80,15,5
C0497,Aggressive,80,15,5
C0498,Moderate,60,30,10
C0499,Moderate,60,30,10
C0500,Conservative,40,40,20
C0501,Conservative,40,40,20
C0502,Aggressive,80,15,5
C0503,Aggressive,80,15,5
C0504,Conservative,40,40,20
C0505,Moderate,60,30,10
C0506,Moderate,60,30,10
C0507,Moderate,60,30,10
C0508,Conservative,40,40,20
C0509,Moderate,60,30,10
C0510,Conservative,40,40,20
C0511,Conservative,40,40,20
C0512,Aggressive,80,15,5
C0513,Aggressive,80,15,5
C0514,Moderate,60,30,10
C0515,Aggressive,80,15,5
C0516,Conservative,40,40,20
C0517,Aggressive,80,15,5
C0518,Moderate,60,30,10
C0519,Moderate,60,30,10
C0520,Conservative,40,40,20
C0521,Conservative,40,40,20
C0522,Aggressive,80,15,5
C0523,Conservative,40,40,20
C0524,Conservative,40,40,20
C0525,Moderate,60,30,10
C0526,Aggressive,80,15,5
C0527,Moderate,60,30,10
C0528,Moderate,60,30,10
C0529,Aggressive,80,15,5
C0530,Moderate,60,30,10
C0531,Conservative,40,40,20
C0532,Moderate,60,30,10
C0533,Moderate,60,30,10
C0534,Conservative,40,40,20
C0535,Moderate,60,30,10
C0536,Moderate,60,30,10
C0537,Moderate,60,30,10
C0538,Moderate,60,30,10
C0539,Aggressive,80,15,5
C0540,Aggressive,80,15,5
C0541,Moderate,60,30,10
C0542,Moderate,60,30,10
C0543,Moderate,60,30,10
C0544,Moderate,60,30,10
C0545,Moderate,60,30,10
C0546,Aggressive,80,15,5
C0547,Aggressive,80,15,5
C0548,Moderate,60,30,10
C0549,Aggressive,80,15,5
C0550,Moderate,60,30,10
C0551,Aggressive,80,15,5
C0552,Conservative,40,40,20
C0553,Aggressive,80,15,5
C0554,Moderate,60,30,10
C0555,Aggressive,80,15,5
C0556,Conservative,40,40,20
C0557,Moderate,60,30,10
C0558,Conservative,40,40,20
C0559,Conservative,40,40,20
C0560,Aggressive,80,15,5
C0561,Moderate,60,30,10
C0562,Aggressive,80,15,5
C0563,Aggressive,80,15,5
C0564,Moderate,60,30,10
C0565,Conservative,40,40,20
C0566,Aggressive,80,15,5
C0567,Aggressive,80,15,5
C0568,Conservative,40,40,20
C0569,Aggressive,80,15,5
C0570,Conservative,40,40,20
C0571,Moderate,60,30,10
C0572,Aggressive,80,15,5
C0573,Moderate,60,30,10
C0574,Aggressive,80,15,5
C0575,Moderate,60,30,10
C0576,Aggressive,80,15,5
C0577,Moderate,60,30,10
C0578,Conservative,40,40,20
C0579,Conservative,40,40,20
C0580,Moderate,60,30,10
C0581,Aggressive,80,15,5
C0582,Moderate,60,30,10
C0583,Conservative,40,40,20
C0584,Conservative,40,40,20
C0585,Conservative,40,40,20
C0586,Aggressive,80,15,5
C0587,Aggressive,80,15,5
C0588,Aggressive,80,15,5
C0589,Aggressive,80,15,5
C0590,Moderate,60,30,10
C0591,Moderate,60,30,10
C0592,Moderate,60,30,10
C0593,Moderate,60,30,10
C0594,Aggressive,80,15,5
C0595,Moderate,60,30,10
C0596,Aggressive,80,15,5
C0597,Aggressive,80,15,5
C0598,Moderate,60,30,10
C0599,Moderate,60,30,10
C0600,Moderate,60,30,10
C0601,Conservative,40,40,20
C0602,Aggressive,80,15,5
C0603,Moderate,60,30,10
C0604,Conservative,40,40,20
C0605,Conservative,40,40,20
C0606,Aggressive,80,15,5
C0607,Conservative,40,40,20
C0608,Conservative,40,40,20
C0609,Aggressive,80,15,5
C0610,Moderate,60,30,10
C0611,Aggressive,80,15,5
C0612,Conservative,40,40,20
C0613,Conservative,40,40,20
C0614,Moderate,60,30,10
C0615,Aggressive,80,15,5
C0616,Conservative,40,40,20
C0617,Moderate,60,30,10
C0618,Conservative,40,40,20
C0619,Conservative,40,40,20
C0620,Moderate,60,30,10
C0621,Conservative,40,40,20
C0622,Moderate,60,30,10
C0623,Moderate,60,30,10
C0624,Moderate,60,30,10
C0625,Aggressive,80,15,5
C0626,Moderate,60,30,10
C0627,Moderate,60,30,10
C0628,Conservative,40,40,20
C0629,Aggressive,80,15,5
C0630,Conservative,40,40,20
C0631,Aggressive,80,15,5
C0632,Conservative,40,40,20
C0633,Conservative,40,40,20
C0634,Moderate,60,30,10
C0635,Conservative,40,40,20
C0636,Moderate,60,30,10
C0637,Conservative,40,40,20
C0638,Aggressive,80,15,5
C0639,Aggressive,80,15,5
C0640,Aggressive,80,15,5
C0641,Moderate,60,30,10
C0642,Conservative,40,40,20
C0643,Aggressive,80,15,5
C0644,Conservative,40,40,20
C0645,Conservative,40,40,20
C0646,Conservative,40,40,20
C0647,Aggressive,80,15,5
C0648,Conservative,40,40,20
C0649,Aggressive,80,15,5
C0650,Moderate,60,30,10
C0651,Aggressive,80,15,5
C0652,Aggressive,80,15,5
C0653,Aggressive,80,15,5
C0654,Conservative,40,40,20
C0655,Conservative,40,40,20
C0656,Aggressive,80,15,5
C0657,Moderate,60,30,10
C0658,Aggressive,80,15,5
C0659,Moderate,60,30,10
C0660,Aggressive,80,15,5
C0661,Conservative,40,40,20
C0662,Moderate,60,30,10
C0663,Aggressive,80,15,5
C0664,Aggressive,80,15,5
C0665,Moderate,60,30,10
C0666,Aggressive,80,15,5
C0667,Aggressive,80,15,5
C0668,Moderate,60,30,10
C0669,Aggressive,80,15,5
C0670,Moderate,60,30,10
C0671,Moderate,60,30,10
C0672,Moderate,60,30,10
C0673,Conservative,40,40,20
C0674,Aggressive,80,15,5
C0675,Aggressive,80,15,5
C0676,Aggressive,80,15,5
C0677,Aggressive,80,15,5
C0678,Moderate,60,30,10
C0679,Conservative,40,40,20
C0680,Aggressive,80,15,5
C0681,Conservative,40,40,20
C0682,Conservative,40,40,20
C0683,Moderate,60,30,10
C0684,Conservative,40,40,20
C0685,Aggressive,80,15,5
C0686,Conservative,40,40,20
C0687,Aggressive,80,15,5
C0688,Conservative,40,40,20
C0689,Conservative,40,40,20
C0690,Conservative,40,40,20
C0691,Aggressive,80,15,5
C0692,Aggressive,80,15,5
C0693,Conservative,40,40,20
C0694,Conservative,40,40,20
C0695,Aggressive,80,15,5
C0696,Conservative,40,40,20
C0697,Aggressive,80,15,5
C0698,Aggressive,80,15,5
C0699,Aggressive,80,15,5
C0700,Aggressive,80,15,5
C0701,Moderate,60,30,10
C0702,Moderate,60,30,10
C0703,Moderate,60,30,10
C0704,Moderate,60,30,10
C0705,Conservative,40,40,20
C0706,Conservative,40,40,20
C0707,Moderate,60,30,10
C0708,Moderate,60,30,10
C0709,Moderate,60,30,10
C0710,Aggressive,80,15,5
C0711,Aggressive,80,15,5
C0712,Conservative,40,40,20
C0713,Moderate,60,30,10
C0714,Moderate,60,30,10
C0715,Moderate,60,30,10
C0716,Aggressive,80,15,5
C0717,Moderate,60,30,10
C0718,Moderate,60,30,10
C0719,Moderate,60,30,10
C0720,Moderate,60,30,10
C0721,Conservative,40,40,20
C0722,Conservative,40,40,20
C0723,Moderate,60,30,10
C0724,Aggressive,80,15,5
C0725,Conservative,40,40,20
C0726,Aggressive,80,15,5
C0727,Aggressive,80,15,5
C0728,Aggressive,80,15,5
C0729,Aggressive,80,15,5
C0730,Moderate,60,30,10
C0731,Aggressive,80,15,5
C0732,Aggressive,80,15,5
C0733,Aggressive,80,15,5
C0734,Moderate,60,30,10
C0735,Conservative,40,40,20
C0736,Moderate,60,30,10
C0737,Aggressive,80,15,5
C0738,Moderate,60,30,10
C0739,Conservative,40,40,20
C0740,Conservative,40,40,20
C0741,Aggressive,80,15,5
C0742,Moderate,60,30,10
C0743,Moderate,60,30,10
C0744,Moderate,60,30,10
C0745,Conservative,40,40,20
C0746,Moderate,60,30,10
C0747,Conservative,40,40,20
C0748,Moderate,60,30,10
C0749,Moderate,60,30,10
C0750,Conservative,40,40,20
C0751,Conservative,40,40,20
C0752,Conservative,40,40,20
C0753,Moderate,60,30,10
C0754,Conservative,40,40,20
C0755,Aggressive,80,15,5
C0756,Moderate,60,30,10
C0757,Conservative,40,40,20
C0758,Moderate,60,30,10
C0759,Aggressive,80,15,5
C0760,Aggressive,80,15,5
C0761,Aggressive,80,15,5
C0762,Moderate,60,30,10
C0763,Moderate,60,30,10
C0764,Moderate,60,30,10
C0765,Aggressive,80,15,5
C0766,Aggressive,80,15,5
C0767,Conservative,40,40,20
C0768,Moderate,60,30,10
C0769,Moderate,60,30,10
C0770,Conservative,40,40,20
C0771,Aggressive,80,15,5
C0772,Conservative,40,40,20
C0773,Moderate,60,30,10
C0774,Conservative,40,40,20
C0775,Aggressive,80,15,5
C0776,Aggressive,80,15,5
C0777,Conservative,40,40,20
C0778,Conservative,40,40,20
C0779,Moderate,60,30,10
C0780,Aggressive,80,15,5
C0781,Conservative,40,40,20
C0782,Moderate,60,30,10
C0783,Moderate,60,30,10
C0784,Moderate,60,30,10
C0785,Moderate,60,30,10
C0786,Moderate,60,30,10
C0787,Conservative,40,40,20
C0788,Conservative,40,40,20
C0789,Moderate,60,30,10
C0790,Moderate,60,30,10
C0791,Aggressive,80,15,5
C0792,Aggressive,80,15,5
C0793,Moderate,60,30,10
C0794,Moderate,60,30,10
C0795,Moderate,60,30,10
C0796,Aggressive,80,15,5
C0797,Aggressive,80,15,5
C0798,Moderate,60,30,10
C0799,Moderate,60,30,10
C0800,Conservative,40,40,20
C0801,Moderate,60,30,10
C0802,Moderate,60,30,10
C0803,Aggressive,80,15,5
C0804,Moderate,60,30,10
C0805,Conservative,40,40,20
C0806,Conservative,40,40,20
C0807,Moderate,60,30,10
C0808,Conservative,40,40,20
C0809,Aggressive,80,15,5
C0810,Aggressive,80,15,5
C0811,Conservative,40,40,20
C0812,Aggressive,80,15,5
C0813,Conservative,40,40,20
C0814,Aggressive,80,15,5
C0815,Aggressive,80,15,5
C0816,Conservative,40,40,20
C0817,Conservative,40,40,20
C0818,Conservative,40,40,20
C0819,Aggressive,80,15,5
C0820,Moderate,60,30,10
C0821,Aggressive,80,15,5
C0822,Aggressive,80,15,5
C0823,Moderate,60,30,10
C0824,Moderate,60,30,10
C0825,Aggressive,80,15,5
C0826,Moderate,60,30,10
C0827,Moderate,60,30,10
C0828,Aggressive,80,15,5
C0829,Aggressive,80,15,5
C0830,Moderate,60,30,10
C0831,Aggressive,80,15,5
C0832,Moderate,60,30,10
C0833,Conservative,40,40,20
C0834,Conservative,40,40,20
C0835,Aggressive,80,15,5
C0836,Conservative,40,40,20
C0837,Moderate,60,30,10
C0838,Conservative,40,40,20
C0839,Conservative,40,40,20
C0840,Conservative,40,40,20
C0841,Conservative,40,40,20
C0842,Moderate,60,30,10
C0843,Aggressive,80,15,5
C0844,Moderate,60,30,10
C0845,Aggressive,80,15,5
C0846,Moderate,60,30,10
C0847,Conservative,40,40,20
C0848,Conservative,40,40,20
C0849,Aggressive,80,15,5
C0850,Conservative,40,40,20
C0851,Aggressive,80,15,5
C0852,Conservative,40,40,20
C0853,Aggressive,80,15,5
C0854,Moderate,60,30,10
C0855,Moderate,60,30,10
C0856,Moderate,60,30,10
C0857,Aggressive,80,15,5
C0858,Moderate,60,30,10
C0859,Conservative,40,40,20
C0860,Aggressive,80,15,5
C0861,Moderate,60,30,10
C0862,Conservative,40,40,20
C0863,Aggressive,80,15,5
C0864,Conservative,40,40,20
C0865,Conservative,40,40,20
C0866,Conservative,40,40,20
C0867,Moderate,60,30,10
C0868,Conservative,40,40,20
C0869,Moderate,60,30,10
C0870,Moderate,60,30,10
C0871,Conservative,40,40,20
C0872,Aggressive,80,15,5
C0873,Conservative,40,40,20
C0874,Moderate,60,30,10
C0875,Aggressive,80,15,5
C0876,Conservative,40,40,20
C0877,Conservative,40,40,20
C0878,Aggressive,80,15,5
C0879,Moderate,60,30,10
C0880,Aggressive,80,15,5
C0881,Aggressive,80,15,5
C0882,Conservative,40,40,20
C0883,Aggressive,80,15,5
C0884,Moderate,60,30,10
C0885,Conservative,40,40,20
C0886,Aggressive,80,15,5
C0887,Moderate,60,30,10
C0888,Moderate,60,30,10
C0889,Moderate,60,30,10
C0890,Conservative,40,40,20
C0891,Aggressive,80,15,5
C0892,Moderate,60,30,10
C0893,Aggressive,80,15,5
C0894,Conservative,40,40,20
C0895,Moderate,60,30,10
C0896,Aggressive,80,15,5
C0897,Moderate,60,30,10
C0898,Aggressive,80,15,5
C0899,Moderate,60,30,10
C0900,Aggressive,80,15,5
C0901,Conservative,40,40,20
C0902,Aggressive,80,15,5
C0903,Moderate,60,30,10
C0904,Moderate,60,30,10
C0905,Conservative,40,40,20
C0906,Conservative,40,40,20
C0907,Moderate,60,30,10
C0908,Aggressive,80,15,5
